btn href,core href,img src,bdg,name,prc,old,bdg (2),rev,stars,mpg,name (2),bdg (3)
https://www.jumia.com.ng/customer/account/login/?tkWl=GL219HA5THM74NAFAMZ-545821442&return=%2Fmlp-best-home-appliances-deals%2Fhousehold-fans%2F,https://www.jumia.com.ng/glamstar-18-inches-rechargeable-standing-fan-white-346616815.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/51/8616643/1.jpg?5106,Official Store,Glamstar 18 Inches Rechargeable Standing Fan White,"₦ 69,500","₦ 85,000",18%,"4.8 out of 5
(21)",4.8 out of 5,,,
https://www.jumia.com.ng/customer/account/login/?tkWl=LO624HA58KCXQNAFAMZ-553343040&return=%2Fmlp-best-home-appliances-deals%2Fhousehold-fans%2F,https://www.jumia.com.ng/12-inch-rechargeable-table-fan-cf025-12-lontor-mpg4310477.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/7176943/1.jpg?0438,Official Store,Lontor 12 Inch Rechargeable Table Fan Cf025-12,"₦ 38,295","₦ 42,500",10%,"4.4 out of 5
(928)",4.4 out of 5,offers from,,
https://www.jumia.com.ng/customer/account/login/?tkWl=DU541HA1Z5PA5NAFAMZ-163839937&return=%2Fmlp-best-home-appliances-deals%2Fhousehold-fans%2F,https://www.jumia.com.ng/duravolt-16-inches-3-in-1-rechargeable-fan-solar-panel-2-bulbs-118781591.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/19/5187811/1.jpg?9401,Official Store,Duravolt 16 Inches -3 In 1 Rechargeable Fan +Solar Panel + 2-Bulbs,"₦ 74,998","₦ 99,000",24%,"3.7 out of 5
(557)",3.7 out of 5,,,
,https://www.jumia.com.ng/itel-electric-fan16-inch-lite-7-blade-imitation-natural-wind-336374678.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/87/6473633/1.jpg?5244,Official Store,itel Electric Fan16 Inch-Lite 7-Blade Imitation Natural Wind,"₦ 31,000","₦ 45,000",31%,"4.5 out of 5
(6)",4.5 out of 5,,,
https://www.jumia.com.ng/customer/account/login/?tkWl=NE493HA2HNIAUNAFAMZ-141461122&return=%2Fmlp-best-home-appliances-deals%2Fhousehold-fans%2F,https://www.jumia.com.ng/nexus-18-inch-standing-fan-nx-sf5400b-103628505.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/50/5826301/1.jpg?3666,Official Store,Nexus 18 Inch Standing Fan (NX-SF5400B),"₦ 24,200","₦ 30,000",19%,"4.2 out of 5
(2769)",4.2 out of 5,,,
,https://www.jumia.com.ng/binatone-16-inches-standing-fan-a1691-black-2-years-warranty-76698431.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/489667/1.jpg?8230,Official Store,Binatone 16 Inches Standing Fan (A1691) - Black + 2 Years Warranty,"₦ 40,740","₦ 50,740",20%,"4.3 out of 5
(901)",4.3 out of 5,,,
https://www.jumia.com.ng/customer/account/login/?tkWl=AC431HA4TSN1TNAFAMZ-465013502&return=%2Fmlp-best-home-appliances-deals%2Fhousehold-fans%2F,https://www.jumia.com.ng/ace-elec-8.7-inches-rechargeable-table-fan-290890919.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/9098092/1.jpg?2271,,Ace Elec 8.7 inches Rechargeable Table Fan,"₦ 6,500","₦ 15,294",57%,"3.2 out of 5
(353)",3.2 out of 5,,,
,https://www.jumia.com.ng/generic-7200mah-rechargeable-fan-usb-folding-telescopic-7.7-inch-max-254991929.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/9199452/1.jpg?5480,,7200MaH Rechargeable Fan USB Folding Telescopic 7.7 Inch Max,"₦ 11,880","₦ 34,876",66%,"3.8 out of 5
(127)",3.8 out of 5,,,
,https://www.jumia.com.ng/generic-7200mah-rechargeable-fan-usb-folding-telescopic-7.7-inch-max-277586279.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/2685772/1.jpg?4844,,7200MaH Rechargeable Fan USB Folding Telescopic 7.7 Inch Max,"₦ 15,840","₦ 24,876",36%,"3.5 out of 5
(37)",3.5 out of 5,,,
https://www.jumia.com.ng/customer/account/login/?tkWl=IW047HA51L509NAFAMZ-500880367&return=%2Fmlp-best-home-appliances-deals%2Fhousehold-fans%2F,https://www.jumia.com.ng/iwin-mini-rechargeable-desktop-fan-316769940.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/9967613/1.jpg?6229,,Iwin Mini Rechargeable Desktop Fan,"₦ 9,300","₦ 25,000",63%,"4 out of 5
(60)",4 out of 5,,,
